"REF","TEAM","POSITION","PLAYER","SCORE","WEEK","","","","ALL STAR TEAM OF THE WEEK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","DECOUPES","QB","J. DANIELS","24.82","WEEK 1","","","","","WEEK 1","","","WEEK 2","","","WEEK 3","","","WEEK 4","","","WEEK 5","","","WEEK 6","","","WEEK 7","","","WEEK 8","","","WEEK 9","","","WEEK 10","","","WEEK 11","","","WEEK 12","","","WEEK 13","","","WEEK 14","","","","","TEAM NAME","","","","","","Position","","Place","Team","Name","Score","Week",""
"2","DECOUPES","RB","C. BROWN","15.20","WEEK 1","","1","QB","QB","J. ALLEN","49.16","EAGLES","L. JACKSON","36.30","MUTTS","J. HURTS","37.94","METAMOOKDAWGS","P. MAHOMES","38.30","KINGS","C. STROUD","40.66","YARDIES","P. MAHOMES","41.28","KINGS","B. NIX","45.26","GREEN","J. LOVE","39.60","YARDIES","S. DARNOLD","39.00","POPEYES","M. STAFFORD","37.60","GREEN","J. ALLEN","50.28","EAGLES","J. HURTS","36.56","METAMOOKDAWGS","P. MAHOMES","40.14","KINGS","J. ALLEN","47.94","EAGLES","","10","DECOUPES","11","3","0","11","","QB","1","1st place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"3","DECOUPES","RB","B. IRVING","15.90","WEEK 1","","1","RB","RB 1","D. HENRY","32.00","YARDIES","J. TAYLOR","33.00","GREEN","J. TAYLOR","35.50","GREEN","J. JACOBS","33.90","CHAMPS","J. TAYLOR","33.30","GREEN","B. ROBINSON","38.70","GREEN","C. MCCAFFREY","42.50","KINGS","J. TAYLOR","39.60","GREEN","C. MCCAFFREY","38.10","KINGS","J. TAYLOR","54.80","GREEN","C. MCCAFFREY","36.40","KINGS","J. GIBBS","58.90","DECOUPES","B. ROBINSON","33.60","GREEN","J. GIBBS","38.20","DECOUPES","","6","POPEYES","15","5","0","15","","QB","2","2nd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"4","DECOUPES","RB","","","WEEK 1","","2","RB","RB 2","B. ROBINSON","26.60","GREEN","D. ACHANE","27.30","POPEYES","J. GIBBS","29.10","CHAMPS","B. ROBINSON","30.80","GREEN","K. WILLIAMS","32.50","CHAMPS","J. JACOBS","33.80","CHAMPS","J. GIBBS","39.50","DECOUPES","B. HALL","37.86","MUTTS","R. DOWDLE","31.60","YARDIES","D. ACHANE","43.70","POPEYES","T. HENDERSON","34.20","POPEYES","C. MCCAFFREY","29.60","KINGS","J. COOK","22.90","MUTTS","R. HARVEY","23.70","METAMOOKDAWGS","","1","GREEN","23","1","0","23","","QB","3","3rd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"5","DECOUPES","WR","C. LAMB","19.00","WEEK 1","","1","WR","WR 1","Z. FLOWERS","29.30","YARDIES","A. ST. BROWN","40.40","MUTTS","C. SUTTON","24.80","GREEN","P. NACUA","37.00","POPEYES","E. EGBUKA","32.30","POPEYES","D. LONDON","32.80","SAVAGES","J. CHASE","39.10","SAVAGES","R. RICE","25.70","DECOUPES","D. LONDON","39.80","SAVAGES","D. LONDON","25.40","SAVAGES","G. PICKENS","30.40","EAGLES","J. SMITH-NJIGBA","38.20","METAMOOKDAWGS","A. BROWN","36.20","GREEN","P. NACUA","36.70","POPEYES","","3","SAVAGES","16","9","0","16","","RB","1","1st place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"6","DECOUPES","WR","J. MEYERS","17.70","WEEK 1","","2","WR","WR 2","D. SAMUEL","25.20","MUTTS","M. NABERS","38.70","EAGLES","G. WILSON","24.40","CHAMPS","A. ST. BROWN","26.00","MUTTS","J. CHASE","30.00","SAVAGES","J. SMITH-NJIGBA","31.20","METAMOOKDAWGS","D. SMITH","34.30","POPEYES","C. DIKE","25.25","YARDIES","D.J. MOORE","25.28","KINGS","J. WILLIAMS","24.90","EAGLES","G. DORTCH","25.10","CHAMPS","W. ROBINSON","31.70","DECOUPES","R. RICE","29.50","DECOUPES","J. SMITH-NJIGBA","28.20","METAMOOKDAWGS","","8","CHAMPS","13","6","0","13","","RB","2","2nd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"7","DECOUPES","WR","T. MCLAURIN","4.70","WEEK 1","","3","WR","WR 3","P. NACUA","24.20","POPEYES","J. CHASE","37.50","SAVAGES","P. NACUA","23.90","POPEYES","D. METCALF","24.60","METAMOOKDAWGS","S. DIGGS","25.60","YARDIES","J. CHASE","25.20","SAVAGES","K. ALLEN","29.90","SAVAGES","M. PITTMAN JR.","23.50","CHAMPS","J. SMITH-NJIGBA","23.10","METAMOOKDAWGS","E. EGBUKA","24.50","POPEYES","N. COLLINS","24.20","METAMOOKDAWGS","A. ST. BROWN","30.90","MUTTS","JM. WILLIAMS","28.00","EAGLES","T. HIGGINS","27.20","SAVAGES","","3","METAMOOKDAWGS","16","10","0","16","","RB","3","3rd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"8","DECOUPES","WR","","","WEEK 1","","1","TE","TE","B. BOWERS","16.30","YARDIES","J. FERGUSON","16.80","MUTTS","H. HENRY","29.00","KINGS","T. WARREN","18.50","GREEN","J. FERGUSON","23.90","MUTTS","T. MCBRIDE","21.20","SAVAGES","T. MCBRIDE","29.40","SAVAGES","T. KRAFT","34.30","DECOUPES","B. BOWERS","44.40","YARDIES","T. MCBRIDE","28.70","SAVAGES","T. MCBRIDE","28.50","SAVAGES","H. HENRY","25.50","KINGS","B. BOWERS","22.30","YARDIES","H. FANNIN","26.40","POPEYES","","2","YARDIES","17","2","1","16","","WR","1","1st place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"9","DECOUPES","TE","T. KELCE","12.70","WEEK 1","","1","FLEX","FLEX","J. COOK","22.50","MUTTS","J. COOK","29.60","MUTTS","D. MONTGOMERY","31.60","CHAMPS","G. PICKENS","34.40","EAGLES","R. DOWDLE","36.70","YARDIES","R. DOWDLE","37.90","YARDIES","J. SMITH-NJIGBA","27.30","METAMOOKDAWGS","K. VIDAL","23.00","YARDIES","K. MONANGAI","26.40","GREEN","T. ETIENNE","17.30","SAVAGES","T. MCMILLAN","34.00","GREEN","K. SHAKIR","18.75","KINGS","D. SWIFT","23.60","GREEN","C. WATSON","24.90","EAGLES","","6","MUTTS","15","4","0","15","","WR","2","2nd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
