"Rank","Team Name","Overall Wins","Overall Losses","Overall Win %","OVERALL WIN RANK","Division Name","Divisional Wins","Divisonal Losses","Divisional Win %","DIV RANK","Div Total Rank","DIVISIONAL WIN % RANK","Most amount of Div Wins","Least amount of Div losees","Total Score Rank/ Flipped for POS","Team Score Rank","TOTAL SCORE","Cross-Divisonal Wins","Cross-Divisonal Losses","Cross Divisional Win %","C-DIV RANK","MVTS - RANK","MVTS - SCORE","ALL-STARS - RANK","ALL-STARS - COUNT","MOTW Wins","MOTW Losses","MOTW Win %","MOTW GAMES PLAY","MOTW RANK","UPSETS","","BLOWOUTS","AWAY Wins","AWAY Losses","Away Win %","AWAY RANK","HOME Wins","HOME Losses","HOME Win %","HOME RANK","","Schedule Competivness","SOS L",""
"3","DECOUPES","9","5","0.643","2","PRODIGY","5","3","0.625","2","","2","2","2","8","3","2302.12","4","2","0.667","3","3","26.00","10","11","0","2","0.000","2","6","4","","4","5","2","0.714","3","4","3","0.571","2","","12.30","10.83560606",""
"5","POPEYES","7","7","0.500","4","PRODIGY","2","6","0.250","8","","1","8","8","5","6","2258.98","5","1","0.833","2","10","9.75","6","15","3","1","0.750","4","3","2","","2","4","3","0.571","4","3","4","0.429","5","","11.42","11.9121109",""
"1","GREEN","12","2","0.857","1","PRODIGY","6","2","0.750","1","","10","1","1","10","1","2518.06","6","0","1.000","1","1","59.50","1","23","4","0","1.000","4","2","2","","5","6","1","0.857","1","6","1","0.857","1","","12.11","10.63357555",""
"9","SAVAGES","5","9","0.357","8","PRODIGY","2","6","0.250","8","","1","8","8","1","10","2109.53","3","3","0.500","5","7","14.00","3","16","0","2","0.000","2","6","3","","2","2","5","0.286","8","3","4","0.429","5","","12.81","14.07947846",""
"8","KINGS","5","9","0.357","8","PRODIGY","5","3","0.625","2","","6","2","2","2","9","2124.41","0","6","0.000","10","6","15.00","3","16","0","1","0.000","1","9","5","","5","2","5","0.286","8","3","4","0.429","5","","14.28","12.87744795",""
"6","CHAMPS","6","8","0.429","6","ESTEEMED","4","4","0.500","6","","4","6","6","9","2","2310.37","2","4","0.333","6","8","13.75","8","13","1","3","0.250","4","5","2","","3","2","5","0.286","8","4","3","0.571","2","","12.05","12.40703463",""
"10","METAMOOKDAWGS","4","10","0.286","10","ESTEEMED","2","6","0.250","8","","1","8","8","6","5","2274.44","2","4","0.333","6","9","10.50","3","16","0","1","0.000","1","9","4","","2","3","4","0.429","5","1","6","0.143","10","","13.12","13.2223356",""
"2","YARDIES","9","5","0.643","2","ESTEEMED","5","3","0.625","2","","6","2","2","4","7","2236.72","4","2","0.667","3","2","31.25","2","17","3","2","0.600","5","1","1","","2","6","1","0.857","1","3","4","0.429","5","","12.45","12.99579468",""
"4","MUTTS","7","7","0.500","4","ESTEEMED","5","3","0.625","2","","6","2","2","7","4","2296.58","2","4","0.333","6","4","24.50","6","15","2","2","0.500","4","4","2","","1","3","4","0.429","5","4","3","0.571","2","","13.53","13.98861575",""
"7","EAGLES","6","8","0.429","6","ESTEEMED","4","4","0.500","6","","4","6","6","3","8","2175.55","2","4","0.333","6","5","19.00","8","13","1","0","1.000","1","8","5","","2","3","4","0.429","5","3","4","0.429","5","","15.34","16.45902906",""
"","Team","","","","Div","Div Wins","","","","","Column 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","GREEN","12","2","","PRODIGY","6","2","2518.06","59.50","1","","","","","","","23","4","0","","","","","","","","","3","","","","","","","","","","","","","","","","",""
"2","YARDIES","9","5","","ESTEEMED","5","3","2236.72","31.25","2","","","","","","","17","3","2","","","","","","","","","8","","","","","","","","","","","","","","","","",""
"3","DECOUPES","9","5","","PRODIGY","5","3","2302.12","26.00","3","","","","","","","11","0","2","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"4","MUTTS","7","7","","ESTEEMED","5","3","2296.58","24.50","4","","","","","","","15","2","2","","","","","","","","","9","","","","","","","","","","","","","","","","",""
"5","POPEYES","7","7","","PRODIGY","2","6","2258.98","9.75","10","","","","","","","15","3","1","","","","","","","","","2","","","","","","","","","","","","","","","","",""
"6","CHAMPS","6","8","","ESTEEMED","4","4","2310.37","13.75","8","","","","","","","13","1","3","","","","","","","","","6","","","","","","","","","","","","","","","","",""
"7","EAGLES","6","8","","ESTEEMED","4","4","2175.55","19.00","5","","","","","","","13","1","0","","","","","","","","","10","","","","","","","","","","","","","","","","",""
"8","KINGS","5","9","","PRODIGY","5","3","2124.41","15.00","6","","","","","","","16","0","1","","","","","","","","","5","","","","","","","","","","","","","","","","",""
"9","SAVAGES","5","9","","PRODIGY","2","6","2109.53","14.00","7","","","","","","","16","0","2","","","","","","","","","4","","","","","","","","","","","","","","","","",""
"10","METAMOOKDAWGS","4","10","","ESTEEMED","2","6","2274.44","10.50","9","","","","","","","16","0","1","","","","","","","","","7","","","","","","","","","","","","","","","","",""
