"OVERALL STATS","","","","","","","","","","","","","","","","","","","","","","","","","","","","TYPE","Position","Stat Type","Row","Place","Team","Points","","RANK","TEAM","POINTS","POSITION","ACHIEVEMENT","DIV/LEAGUE","BONUS"
"Categories","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","QB ","AVERAGE","1","1","EAGLES","4","","3","DECOUPES","26.00","8.00","16.00","0.00","2.00"
"QB","Average","26.93","22.31","25.23","21.88","25.49","23.38","23.96","21.79","22.41","28.90","QB","","","LONGEST WIN STREAK","5","5","12","2","2","2","2","2","3","3","","","POSITION","QB ","AVERAGE","2","1","-","4","","10","POPEYES","9.75","3.25","2.50","0.00","4.00"
"QB","Highest Score","36.12","39.00","45.26","35.20","41.28","38.82","37.94","40.66","36.72","50.28","QB","","","MOST TRADES","3","1","1","0","0","1","0","0","0","0","","","POSITION","QB ","AVERAGE","3","1","-","4","","1","GREEN","59.50","17.00","23.50","19.00","0.00"
"RB","Average","18.30","17.79","23.18","13.60","19.18","18.73","16.16","15.49","17.51","12.98","RB","","","WAIVER WIRE","50","26","15","16","10","19","5","24","15","11","","","POSITION","QB ","AVERAGE","1","2","DECOUPES","2","","7","SAVAGES","14.00","12.50","1.50","0.00","0.00"
"RB","Highest Score","58.90","43.70","54.80","26.50","42.50","33.90","35.80","32.00","37.86","29.50","RB","","","RANK START","5","1","4","2","10","6","3","9","8","7","","","POSITION","QB ","AVERAGE","2","2","-","2","","6","KINGS","15.00","5.50","9.50","0.00","0.00"
"WR","Average","13.60","15.15","13.47","16.05","11.85","14.62","15.96","13.15","15.82","12.14","WR","","","CURRENT RANK","3","5","1","9","8","6","10","2","4","7","","","POSITION","QB ","AVERAGE","3","2","-","2","","8","CHAMPS","13.75","3.25","7.00","1.00","2.50"
"WR","Highest Score","31.70","37.00","36.20","39.80","25.28","26.50","38.20","32.80","40.40","38.70","WR","","","RANK CHANGE","2","-4","3","-7","2","0","-7","7","4","0","","","POSITION","QB ","AVERAGE","1","3","KINGS","1","","9","METAMOOKDAWGS","10.50","6.00","2.00","0.00","2.50"
"TE","Average","13.11","10.03","10.59","18.18","10.56","8.49","8.18","14.33","13.20","12.53","TE","","","MOTW RECORD","6","3","2","6","9","5","9","1","4","8","","","POSITION","QB ","AVERAGE","2","3","-","1","","2","YARDIES","31.25","12.00","9.25","8.00","2.00"
"TE","Highest Score","34.30","26.40","18.50","29.40","29.00","13.70","27.10","44.40","23.90","24.70","TE","","","MOST BLOWOUTS","4","2","5","2","5","3","2","2","1","2","","","POSITION","QB ","AVERAGE","3","3","-","1","","4","MUTTS","24.50","13.50","3.00","3.00","5.00"
"FLEX","Average","12.08","11.32","19.03","12.80","8.65","13.64","13.21","15.98","13.91","16.73","FLEX","","","MOST UPSETS","4","2","2","3","5","2","4","1","2","5","","","POSITION","QB ","HIGHEST SCORE","1","1","EAGLES","2","","5","EAGLES","19.00","14.00","4.00","1.00","0.00"
