"Full Name","Acronym","Division","Team Color","","List of Divisions","","Full Schedule","","Away ","Home ","","","","","Number of  Teams","","YEAR","","","","","","","","","","","","","","","","","","","","","","P1","P2","P3","P4","P5","E1","E2","E3","E4","E5","","","","","","","","","","","","","","","","","","","","","","",""
"DECOUPES","COUP","PRODIGY","B82438","","PRODIGY","","WEEK 1","GAME 1","KINGS","YARDIES","","","","","10","","2025","","","","","","Team","Div","Code","","WEEK 1","","","","","","","","","","","P1","0","2","2","2","2","2","1","1","1","1","","WEEK 1","P1","E1","KINGS","YARDIES","","","","","","","","","","","","","","","","",""
"POPEYES","POP","PRODIGY","FF8B29","","ESTEEMED","","WEEK 1","GAME 2","MUTTS","METAMOOKDAWGS","","","","","","","","","","","1","1","YARDIES","ESTEEMED","E1","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","P2","2","0","2","2","2","1","2","1","1","1","","","E3","E4","MUTTS","METAMOOKDAWGS","","","","","","","","","","","","","","","","",""
"GREEN","GG","PRODIGY","091E7E","","","","WEEK 1","GAME 3","EAGLES","CHAMPS","","","","","","","","","","","2","1","KINGS","PRODIGY","P1","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","P3","2","2","0","2","2","1","1","2","1","1","","","E2","E5","EAGLES","CHAMPS","","","","","","","","","","","","","","","","",""
"SAVAGES","EAS","PRODIGY","FF0000","","","","WEEK 1","GAME 4","DECOUPES","GREEN","","","","","","","","","","","3","2","EAGLES","ESTEEMED","E2","","P1","E1","E3","E4","E2","E5","P3","P4","P5","P2","","P4","2","2","2","0","2","1","1","1","1","2","","","P3","P4","DECOUPES","GREEN","","","","","","","","","","","","","","","","",""
"CHAMPS","CMM","ESTEEMED","F04E37","","","","WEEK 1","GAME 5","SAVAGES","POPEYES","","","","","","","","","","","4","2","POPEYES","PRODIGY","P2","","WEEK 2","","","","","","","","","","","P5","2","2","2","2","0","1","1","1","2","1","","","P5","P2","SAVAGES","POPEYES","","","","","","","","","","","","","","","","",""
"METAMOOKDAWGS","MOOK","ESTEEMED","F091FF","","","","WEEK 2","GAME 1","METAMOOKDAWGS","YARDIES","","","","","","","","","","","5","3","DECOUPES","PRODIGY","P3","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","E1","2","1","1","1","1","0","2","2","2","2","","WEEK 2","E4","E1","METAMOOKDAWGS","YARDIES","","","","","","","","","","","","","","","","",""
"YARDIES","OREG","ESTEEMED","007749","","","","WEEK 2","GAME 2","CHAMPS","MUTTS","","","","","","","","","","","6","3","MUTTS","ESTEEMED","E3","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","E2","1","2","1","1","1","2","0","2","2","2","","","E5","E3","CHAMPS","MUTTS","","","","","","","","","","","","","","","","",""
"MUTTS","UYM","ESTEEMED","BBBBBB","","","","WEEK 2","GAME 3","POPEYES","EAGLES","","","","","DECOUPES","7","7","","","","7","4","GREEN","PRODIGY","P4","","E4","E1","E5","E3","P2","E2","P1","P3","P4","P5","","E3","1","1","2","1","1","2","2","0","2","2","","","P2","E2","POPEYES","EAGLES","","","","","","","","","","","","","","","","",""
"EAGLES","JEF","ESTEEMED","","","","","WEEK 2","GAME 4","KINGS","DECOUPES","","","","","POPEYES","7","7","","","","8","4","METAMOOKDAWGS","ESTEEMED","E4","","WEEK 3","","","","","","","","","","","E4","1","1","1","1","2","2","2","2","0","2","","","P1","P3","KINGS","DECOUPES","","","","","","","","","","","","","","","","",""
"KINGS","MK","PRODIGY","","","","","WEEK 2","GAME 5","GREEN","SAVAGES","","","","","GREEN","7","7","","","","9","5","CHAMPS","ESTEEMED","E5","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","E5","1","1","1","2","1","2","2","2","2","0","","","P4","P5","GREEN","SAVAGES","","","","","","","","","","","","","","","","",""
