 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECOUPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 1,,Week 2,,Week 3,,Week 4,,Week 5,,Week 6,,Week 7,,Week 8,,Week 9,,Week 10,,Week 11,,Week 12,,Week 13,,Week 14,,Finale,
Team Rank,5,,3,,2,,3,,4,,5,,5,,4,,5,,6,,6,,5,,4,,3,,,
QB,J. DANIELS,24.82,J. DANIELS,25.60,D. JONES,20.42,J. FIELDS,32.44,J. FIELDS,34.22,D. PRESCOTT,31.74,D. PRESCOTT,32.16,D. PRESCOTT,7.02,D. PRESCOTT,18.8,J. DART,28.68,D. PRESCOTT,36.12,D. PRESCOTT,33.76,D. PRESCOTT,28.1,D. PRESCOTT,23.14,,
RB,C. BROWN,15.20,C. BROWN,10.10,C. BROWN,7,B. IRVING,28,W. MARKS,3.1,R. WHITE,19.3,J. GIBBS,39.5,R. WHITE,9.4,J. GIBBS,6.7,J. GIBBS,40.7,J. WARREN,9.7,J. GIBBS,58.9,J. GIBBS,13.6,B. IRVING,17.6,,
RB,B. IRVING,15.90,B. IRVING,19.80,B. IRVING,16.4,T. BENSON,11.2,R. WHITE,24.5,J. WARREN,9.4,J. WARREN,22.4,J. WARREN,10.6,J. WARREN,18.5,T. TRACY,9.5,R. WHITE,9.2,J. WARREN,14.6,J. WARREN,13.4,J. GIBBS,38.2,,
RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,C. LAMB,19.00,C. LAMB,21.20,C. LAMB,0,J. MEYERS,7,J. MEYERS,7.2,J. MEYERS,7.9,C. LAMB,23,C. LAMB,14.7,C. LAMB,15.5,W. ROBINSON,12.2,C. LAMB,17.6,C. LAMB,11.5,C. LAMB,25.2,C. LAMB,19.1,,
WR,J. MEYERS,17.70,J. MEYERS,12.80,J. MEYERS,9.3,C. GODWIN JR.,5.6,C. GODWIN JR.,5.6,R. SHAHEED,7.85,R. RICE,23.2,R. RICE,25.7,R. RICE,18.8,G. WILSON,0,R. RICE,9.8,R. RICE,25.1,R. RICE,29.5,R. RICE,7.4,,
