"walk ","WEEK","GAME","TEAM 1 RANK","DIVISON","Away Team","TEAM 1 SCORE","Home Team","TEAM 2","DIVISON","TEAM 2 RANK","MOTW RANKING","GAME #","WINNER","OPPOSING TEAM","BLOWOUT","SCORE GAP","COMBINED SCORE","MOTW","TEAM WITH HIGHEST SCORE","UPSET","Week","","","","","","","","","","","","LOW SCORE GAP RANK","HIGH SCORE GAP RANK","LOW COMBINED SCORE RANK","HIGH COMBINED SCORE RANK","GAME QUALITY","BEST GAME QUALITY RANK","WORST GAME QUALITY RANK","","MOTW BEST GAME QUALITY RANK","MOTW RANKING","UPSET MOTW RANK","UPSET RANK","","","Top 5 Greatest 2025 MOTW Regular Season Games - PVE FFL","","","","","","","","","","","Rank","Team Name","Overall Wins","Overall Losses","Overall Win %","Division Name","Divisional Wins","Divisonal Losses","Divisional Win %","MOTW Wins","MOTW Losses","MOTW Win %","MOTW GAMES PLAY","MOTW RANK","UPSETS","","BLOWOUTS","AWAY Wins","AWAY Losses","Away Win %","HOME Wins","HOME Losses","HOME Win %","","Schedule Competivness","SOS L","SOS R",""
"1","WEEK 1","GAME 1","10","PRODIGY","KINGS","142.22","156.47","YARDIES","ESTEEMED","9","11.71","4","YARDIES","KINGS","","14.25","298.69","","","","1","0","0","","Closest Score Game, Winner","","","0.20","MUTTS","WEEK 10","","","14","57","21","50","32.0","29","42","-","UPCOMING","28.00","NO UPSET","-","","","","","","Week","Winner","Opposing Team","Game Ref #","","","MOTW","","2","DECOUPES","9","5","0.643","PRODIGY","5","3","0.625","0","2","0.000","2","6","4","","4","5","2","0.714","4","3","0.571","","12.30","10.83560606","13.76925376","4"
"2","WEEK 1","GAME 2","8","ESTEEMED","MUTTS","175.61","151.79","METAMOOKDAWGS","ESTEEMED","3","16.54","5","MUTTS","METAMOOKDAWGS","","23.82","327.40","","","UPSET","1","1","0","","Biggiest Blowout Game, Winner","","","136.87","CHAMPS","WEEK 3","","","21","50","40","31","26.0","18","53","-","UPCOMING","50.00","16.54","12.00","","","1","6.50","2025","WEEK 3","POPEYES","MUTTS","2025 REG, PVE FFL GAME 12","10.51","381.93","MOTW","","4","POPEYES","7","7","0.500","PRODIGY","2","6","0.250","3","1","0.750","4","3","2","","2","4","3","0.571","3","4","0.429","","11.42","11.9121109","10.93662131","1"
"3","WEEK 1","GAME 3","7","ESTEEMED","EAGLES","151.12","177.91","CHAMPS","ESTEEMED","6","8.71","3","CHAMPS","EAGLES","","26.79","329.03","","","","1","0","0","","Highest Combined Score Game, Winner","","","422.51","DECOUPES","WEEK 12","","","25","46","42","29","27.0","22","49","-","UPCOMING","14.00","NO UPSET","-","","","2","14.50","2025","WEEK 10","POPEYES","YARDIES","2025 REG, PVE FFL GAME 47","24.14","380.12","MOTW","","1","GREEN","12","2","0.857","PRODIGY","6","2","0.750","4","0","1.000","4","2","2","","5","6","1","0.857","6","1","0.857","","12.11","10.63357555","13.58455473","3"
"4","WEEK 1","GAME 4","5","PRODIGY","DECOUPES","161.60","132.31","GREEN","PRODIGY","4","6.71","2","DECOUPES","GREEN","","29.29","293.91","","","UPSET","1","1","0","","","","","","","","","","27","44","19","52","39.5","45","26","-","UPCOMING","7.00","6.71","28.00","","","3","15.50","2025","WEEK 5","GREEN","CHAMPS","2025 REG, PVE FFL GAME 25","2.30","332.02","MOTW","","7","SAVAGES","5","9","0.357","PRODIGY","2","6","0.250","0","2","0.000","2","6","3","","2","2","5","0.286","3","4","0.429","","12.81","14.07947846","11.53256029","6"
"5","WEEK 1","GAME 5","2","PRODIGY","SAVAGES","116.99","156.56","POPEYES","PRODIGY","1","3.71","1","POPEYES","SAVAGES","","39.57","273.55","MOTW","","","1","0","1","","Highest Combined Score Game, Loser","","","422.51","METAMOOKDAWGS","","DECOUPES","METAMOOKDAWGS","42","29","7","64","53.0","62","9","53","14","2.00","NO UPSET","-","","","4","18.50","2025","WEEK 9","GREEN","POPEYES","2025 REG, PVE FFL GAME 41","12.62","338.36","MOTW","","7","KINGS","5","9","0.357","PRODIGY","5","3","0.625","0","1","0.000","1","9","5","","5","2","5","0.286","3","4","0.429","","14.28","12.87744795","15.68556998","9"
"6","WEEK 2","GAME 1","7","ESTEEMED","METAMOOKDAWGS","133.69","178.73","YARDIES","ESTEEMED","5","10.41","2","YARDIES","METAMOOKDAWGS","YES","45.04","312.42","","","","2","0","0","","Highest Rank Game, Winner","","","3.71","POPEYES","WEEK 1","","","48","23","32","39","43.5","48","23","-","UPCOMING","22.00","NO UPSET","-","","","5","20.00","2025","WEEK 8","GREEN","DECOUPES","2025 REG, PVE FFL GAME 37","22.65","344.37","MOTW","","6","CHAMPS","6","8","0.429","ESTEEMED","4","4","0.500","1","3","0.250","4","5","2","","3","2","5","0.286","4","3","0.571","","12.05","12.40703463","11.69274891","2"
"7","WEEK 2","GAME 2","1","ESTEEMED","CHAMPS","154.71","234.40","MUTTS","ESTEEMED","2","3.71","1","MUTTS","CHAMPS","YES","79.69","389.11","MOTW","","UPSET","2","0","0","","Highest Rank Game, Loser","","","3.71","SAVAGES","","SAVAGES","POPEYES","67","4","68","3","35.0","37","34","35","9","1.00","3.71","30.00","","","","","","","","","","","","","","9","METAMOOKDAWGS","4","10","0.286","ESTEEMED","2","6","0.250","0","1","0.000","1","9","4","","2","3","4","0.429","1","6","0.143","","13.12","13.2223356","13.02030509","7"
"8","WEEK 2","GAME 3","4","PRODIGY","POPEYES","156.22","120.12","EAGLES","ESTEEMED","8","14.83","5","POPEYES","EAGLES","","36.10","276.34","","","","2","1","1","","Biggest Upset","","","25.36","KINGS","METAMOOKDAWGS","WEEK 8","","38","33","9","62","50.0","60","11","-","UPCOMING","47.00","NO UPSET","-","","","","","","","","","","","","","","2","YARDIES","9","5","0.643","ESTEEMED","5","3","0.625","3","2","0.600","5","1","1","","2","6","1","0.857","3","4","0.429","","12.45","12.99579468","11.89477942","5"
"9","WEEK 2","GAME 4","6","PRODIGY","KINGS","136.30","165.71","DECOUPES","PRODIGY","3","11.12","3","DECOUPES","KINGS","","29.41","302.01","","","","2","0","0","","","","","","","","","","28","43","23","48","38.0","41","30","-","UPCOMING","25.00","NO UPSET","-","","","","","","Week","Winner","Opposing Team","Game Ref #","","","MOTW","","4","MUTTS","7","7","0.500","ESTEEMED","5","3","0.625","2","2","0.500","4","4","2","","1","3","4","0.429","4","3","0.571","","13.53","13.98861575","13.07229952","8"
"10","WEEK 2","GAME 5","9","PRODIGY","GREEN","136.50","181.62","SAVAGES","PRODIGY","10","11.71","4","SAVAGES","GREEN","YES","45.12","318.12","","","UPSET","2","0","0","","","","","","WEEK 8","","","","49","22","35","36","42.5","46","25","-","UPCOMING","30.00","11.71","20.00","","","1","6.50","2025","WEEK 3","POPEYES","MUTTS","2025 REG, PVE FFL GAME 12","10.51","381.93","MOTW","","6","EAGLES","6","8","0.429","ESTEEMED","4","4","0.500","1","0","1.000","1","8","5","","2","3","4","0.429","3","4","0.429","","15.34","16.45902906","14.2223356","10"
"11","WEEK 3","GAME 1","9","ESTEEMED","METAMOOKDAWGS","230.16","167.91","KINGS","PRODIGY","7","12.41","4","METAMOOKDAWGS","KINGS","YES","62.25","398.07","","","UPSET","3","1","0","","","","","","","","","","62","9","69","2","32.0","30","41","-","UPCOMING","38.00","12.41","15.00","","","2","9.50","2025","WEEK 4","GREEN","EAGLES","2025 REG, PVE FFL GAME 19","10.96","378.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","WEEK 3","GAME 2","1","ESTEEMED","MUTTS","185.71","196.22","POPEYES","PRODIGY","4","9.12","1","POPEYES","MUTTS","","10.51","381.93","MOTW","","UPSET","3","0","1","","","","","","","","","","8","63","66","5","6.5","1","70","6.5","1","15.00","9.12","25.00","","","3","12.50","2025","WEEK 14","EAGLES","METAMOOKDAWGS","2025 REG, PVE FFL GAME 70","11.88","359.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
